Number,Species,SpMyco,Light,SoilSt,SoilCon,SoilSp,SoilMyco,SoilSpec,Adult,Bench,Time,Event,AMF,EMF,NSC,Lignin,Phenolics,AMF_Imp,EMF_Imp,NSC_Imp,LIG_Imp,PHN_Imp
1,Acsa,AMF,High,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,118,1,21,0,NA,NA,12.84,NA,NA,67.87,NA,12.83988967,13.49354257,0.453484394
2,Prse,AMF,High,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,285,1,21,0,65,NA,NA,8.7,0.85,65,NA,11.58487768,8.656012966,0.851318139
3,Acru,AMF,High,Nonsterile,Heterospecific,Acsa,AMF,HetAMF,1330,1,84,0,27,NA,NA,NA,NA,27,NA,12.20324587,9.912886656,0.145671984
4,Quru,EMF,High,Nonsterile,Heterospecific,Acsa,AMF,HetAMF,1757,1,84,0,NA,NA,NA,NA,NA,44.845,38.82767017,15.58880772,25.17562094,3.518949403
5,Quru,EMF,High,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,118,1,21,0,NA,NA,13.46,NA,NA,45.21,38.04834546,13.45596654,23.06513543,2.935645958
6,Acsa,AMF,High,Nonsterile,Heterospecific,Prse,AMF,HetAMF,A,1,28,1,NA,NA,NA,NA,NA,68.3,NA,12.41607171,13.59240629,0.059735185
7,Prse,AMF,High,Nonsterile,Heterospecific,Acsa,AMF,HetAMF,1330,1,35,1,NA,NA,NA,NA,NA,72.625,NA,12.0866457,9.752938266,0.798806959
8,Acru,AMF,High,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,1201,1,35,1,NA,NA,NA,NA,NA,29.662,NA,11.37402123,8.766515889,0.012091685
311,Prse,AMF,High,Sterile,Sterile,Sterile,Sterile,ConSter,1027,1,84,0,0,NA,NA,NA,NA,0,NA,12.86990185,10.51923333,0.22127553
10,Qual,EMF,High,Nonsterile,Heterospecific,Quru,EMF,HetEMF,921,1,21,0,NA,NA,25.66,NA,NA,46.17,28.83035835,25.6559398,19.58935528,5.179533664
11,Prse,AMF,High,Nonsterile,Heterospecific,Qual,EMF,HetEMF,1297,1,21,0,66,NA,NA,9.7,0.96,66,NA,12.75024795,9.708057874,0.960803858
12,Acru,AMF,High,Nonsterile,Heterospecific,Qual,EMF,HetEMF,1297,1,21,0,32,NA,NA,9.8,-0.29,32,NA,11.54023793,9.79420168,-0.290399362
13,Acsa,AMF,High,Nonsterile,Heterospecific,Quru,EMF,HetEMF,921,1,21,0,NA,NA,12.62,NA,NA,70.17,NA,12.61887872,13.3638439,0.324774754
14,Qual,EMF,High,Nonsterile,Heterospecific,Acsa,AMF,HetAMF,561,1,21,0,NA,NA,23.52,NA,NA,39.87,28.99447213,23.52198691,19.29372956,5.317407043
15,Qual,EMF,High,Nonsterile,Heterospecific,Acru,AMF,HetAMF,1386,1,21,0,NA,NA,19.64,NA,NA,37.44423077,34.69283342,19.63963207,21.07113964,5.16260259
16,Acru,AMF,High,Nonsterile,Heterospecific,Prse,AMF,HetAMF,B,1,21,0,NA,NA,13.83,NA,NA,35.38,NA,13.82845973,11.53872494,1.003057144
422,Prse,AMF,High,Sterile,Sterile,Sterile,Sterile,ConSter,1018,2,84,0,0,NA,NA,NA,NA,0,NA,12.71894199,10.43708852,0.192296055
18,Quru,EMF,High,Nonsterile,Heterospecific,Prse,AMF,HetAMF,B,1,21,0,NA,NA,18.37,NA,NA,46.73,34.02668247,18.37380347,21.6337866,4.18704618
683,Prse,AMF,High,Sterile,Sterile,Sterile,Sterile,ConSter,J,2,84,0,0,NA,NA,NA,NA,0,NA,12.65985037,10.4096339,0.134656015
20,Acru,AMF,High,Nonsterile,Heterospecific,Quru,EMF,HetEMF,921,1,21,0,NA,NA,13.12,NA,NA,39.27,NA,13.12476018,10.68717396,0.616059777
21,Prse,AMF,High,Sterile,Sterile,Sterile,Sterile,ConSter,689,1,21,0,NA,NA,11.94,NA,NA,1.06,NA,11.93962049,9.749944639,0.066288227
22,Acru,AMF,High,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,277,1,84,0,NA,NA,NA,NA,NA,29.242,NA,11.5056379,8.837718492,0.047890367
23,Acsa,AMF,High,Sterile,Sterile,Sterile,Sterile,ConSter,275,1,21,0,NA,NA,11.02,NA,NA,0.61,NA,11.01580582,11.09667277,-0.084739691
24,Quru,EMF,High,Nonsterile,Conspecific,Quru,EMF,Con,921,1,21,0,NA,NA,19.18,NA,NA,48.9,33.22819988,19.17695768,20.92564443,4.281035889
25,Acsa,AMF,High,Sterile,Sterile,Sterile,Sterile,ConSter,1757,1,84,0,NA,NA,NA,NA,NA,0.61,NA,12.07187018,12.26550933,0.057248741
26,Quru,EMF,High,Nonsterile,Heterospecific,Prse,AMF,HetAMF,J,1,46,1,NA,NA,NA,NA,NA,46.39,34.1334602,16.95183334,22.99018468,3.853138596
27,Quru,EMF,High,Nonsterile,Heterospecific,Acsa,AMF,HetAMF,1330,1,84,0,48,NA,NA,NA,NA,48,34.11646745,15.31863755,24.29487107,3.467980179
28,Qual,EMF,High,Sterile,Sterile,Sterile,Sterile,ConSter,1478,1,21,0,NA,NA,19.11,NA,NA,0.24,7.856913196,19.11431288,20.88228648,4.137968689
29,Qual,EMF,High,Nonsterile,Conspecific,Qual,EMF,Con,1320,1,84,0,51,NA,NA,NA,NA,51,35.71820019,21.67782096,20.20129683,5.155672391
30,Acsa,AMF,High,Nonsterile,Heterospecific,Acru,AMF,HetAMF,50,1,21,0,NA,NA,12.34,NA,NA,68.76833333,NA,12.33904488,13.57091659,-0.017159958
31,Acru,AMF,High,Nonsterile,Conspecific,Acru,AMF,Con,1384,1,63,1,NA,NA,NA,NA,NA,41.11,NA,11.79560841,8.926334445,0.214442417
32,Quru,EMF,High,Sterile,Sterile,Sterile,Sterile,ConSter,970,1,84,0,NA,NA,NA,NA,NA,0.24,6.289404277,17.80846503,21.69801618,3.713520756
33,Qual,EMF,High,Nonsterile,Conspecific,Qual,EMF,Con,1205,1,84,0,NA,NA,NA,NA,NA,49.254,34.80019724,21.91503784,20.06784749,5.12260022
34,Acsa,AMF,High,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,394,1,84,0,61,NA,NA,NA,NA,61,NA,12.27273137,13.39579342,0.029665156
35,Quru,EMF,High,Nonsterile,Heterospecific,Qual,EMF,HetEMF,1205,1,84,0,NA,NA,NA,NA,NA,50.05766667,31.90039372,17.90709593,21.54783498,3.846425217
